alpha_deg,Cl,Cd
-6.0,-0.71578,0.012512
-5.75,-0.69395,0.012118
-5.5,-0.67143,0.011747
-5.25,-0.64798,0.011395
-5.0,-0.62333,0.011048
-4.75,-0.59708,0.010699
-4.5,-0.56876,0.010346
-4.25,-0.538,0.009996
-4.0,-0.50464,0.00966
-3.75,-0.46894,0.009348
-3.5,-0.43166,0.009061
-3.25,-0.3937,0.008792
-3.0,-0.35589,0.008538
-2.75,-0.31903,0.008289
-2.5,-0.28374,0.008034
-2.25,-0.25023,0.007773
-2.0,-0.21825,0.007526
-1.75,-0.18753,0.007315
-1.5,-0.15813,0.007146
-1.25,-0.13021,0.007017
-1.0,-0.10363,0.00692
-0.75,-0.07785,0.006848
-0.5,-0.05221,0.006797
-0.25,-0.02626,0.006767
0.0,-0.0,0.006757
0.25,0.02626,0.006767
0.5,0.05221,0.006797
0.75,0.07785,0.006848
1.0,0.10363,0.00692
1.25,0.13021,0.007017
1.5,0.15813,0.007146
1.75,0.18753,0.007315
2.0,0.21825,0.007526
2.25,0.25023,0.007773
2.5,0.28374,0.008034
2.75,0.31903,0.008289
3.0,0.35589,0.008538
3.25,0.3937,0.008792
3.5,0.43166,0.009061
3.75,0.46894,0.009348
4.0,0.50464,0.00966
4.25,0.538,0.009996
4.5,0.56876,0.010346
4.75,0.59708,0.010699
5.0,0.62333,0.011048
5.25,0.64798,0.011395
5.5,0.67143,0.011747
5.75,0.69395,0.012118
6.0,0.71578,0.012512
6.25,0.73711,0.012918
6.5,0.75814,0.013322
6.75,0.779,0.013718
7.0,0.79975,0.014115
7.25,0.82039,0.014521
7.5,0.8409,0.014945
7.75,0.86125,0.015391
8.0,0.88142,0.015864
8.25,0.90139,0.016365
8.5,0.92115,0.016897
8.75,0.9407,0.017461
9.0,0.96006,0.018056
9.25,0.97922,0.018684
9.5,0.99818,0.019345
9.75,1.01691,0.020038
10.0,1.03537,0.020763
10.25,1.05352,0.021521
10.5,1.07128,0.022312
10.75,1.08856,0.023139
11.0,1.10529,0.024002
11.25,1.12136,0.024905
11.5,1.13669,0.025852
11.75,1.15117,0.026849
12.0,1.16473,0.027902
12.25,1.17726,0.029021
12.5,1.18866,0.030218
12.75,1.19881,0.03151
13.0,1.20758,0.032916
13.25,1.21484,0.034461
13.5,1.22048,0.036172
13.75,1.22445,0.038079
14.0,1.22672,0.040212
14.25,1.22728,0.0426
14.5,1.22614,0.04527
14.75,1.22328,0.04825
15.0,1.21862,0.05157
15.25,1.21208,0.055266
15.5,1.20359,0.05938
15.75,1.19314,0.063958
16.0,1.18077,0.069052
